what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331119086453
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331119092312
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331119092390
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331119216484
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331119222734
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331119222750
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331119222796
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331119224734
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331119229515
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331119348890
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1331119363296
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331119363484
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331119369875
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331119369875
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331119371781
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1331119371796
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331119376687
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331119520375
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331119524109
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331119524109
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331119524203
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331119700312
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331119701906
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331119701921
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331119701921
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331120009296
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331120020250
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1331120023828
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1331120028640
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1331120036171
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1331120045406
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1331120047281
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1331120047421
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1331120048500
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1331120049796
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331120049968
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331120050015
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.textEnd",1331120051203
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1331120053953
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1331120054609
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331120104328
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331120104343
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331120104437
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331123494921
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331123495765
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331123495765
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331123495765
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331123499437
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1331123500640
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331126013968
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331126018765
